h3,total,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia,hc_clst_4,hc_clst_5,hc_clst_6,hc_clst_7
87a9460b2ffffff,2,1,0,0,0,1,3,3,3,3
87a9460b3ffffff,1,0,1,0,0,1,2,2,2,2
87a9460b6ffffff,1,1,0,0,0,1,3,3,3,3
87a946190ffffff,1,1,0,0,0,0,4,5,5,5
87a946191ffffff,1,1,0,0,1,0,4,5,5,7
87a946192ffffff,2,1,0,0,0,0.5,4,5,5,5
87a946194ffffff,1,1,0,0,0,0,4,5,5,5
87a946196ffffff,3,1,0,0,0,0.3333333333333333,4,5,5,5
87a9461b0ffffff,1,1,0,0,0,0,4,5,5,5
87a9461b2ffffff,10,1,0,0,0.1,0.4,4,5,5,5
87a9461b3ffffff,5,1,0,0,0,0.8,4,5,5,5
87a9461b6ffffff,1,1,0,0,0,1,3,3,3,3
87a946402ffffff,3,1,0,0,0,0.6666666666666666,4,5,5,5
87a946406ffffff,1,1,0,0,0,0,4,5,5,5
87a946412ffffff,2,1,0,0,0,0,4,5,5,5
87a946416ffffff,2,1,0,0,0,0.5,4,5,5,5
87a946419ffffff,1,0,1,0,0,1,2,2,2,2
87a94641bffffff,1,0,1,0,1,0,1,1,6,6
87a946424ffffff,4,1,0,0,0,1,3,3,3,3
87a946425ffffff,2,1,0,0,0,1,3,3,3,3
87a946433ffffff,6,0.8333333333333334,0.16666666666666666,0,0.3333333333333333,0.6666666666666666,4,5,5,5
87a946434ffffff,1,0,1,0,0,1,2,2,2,2
87a946465ffffff,1,1,0,0,1,0,4,5,5,7
87a946474ffffff,8,0.125,0.875,0,0.375,0.5,1,1,1,1
87a94648effffff,2,1,0,0,0,0,4,5,5,5
87a946492ffffff,1,1,0,0,0,0,4,5,5,5
87a9464a2ffffff,1,1,0,0,0,1,3,3,3,3
87a9464a4ffffff,1,1,0,0,0,0,4,5,5,5
87a9464a6ffffff,2,1,0,0,0.5,0,4,5,5,7
87a9464a8ffffff,1,1,0,0,0,1,3,3,3,3
87a9464abffffff,2,1,0,0,0,1,3,3,3,3
87a9464b2ffffff,1,1,0,0,0,1,3,3,3,3
87a9464c2ffffff,1,1,0,0,0,1,3,3,3,3
87a9464d1ffffff,1,1,0,0,0,0,4,5,5,5
87a9464d4ffffff,1,1,0,0,0,0,4,5,5,5
87a9464d5ffffff,2,1,0,0,0,0,4,5,5,5
87a9464f1ffffff,1,1,0,0,0,0,4,5,5,5
87a9464f2ffffff,2,0,1,0,0,1,2,2,2,2
87a9464f3ffffff,1,0,1,0,0,1,2,2,2,2
87a946500ffffff,1,1,0,0,0,0,4,5,5,5
87a946505ffffff,1,1,0,0,0,1,3,3,3,3
87a946509ffffff,1,1,0,0,0,0,4,5,5,5
87a94650dffffff,2,1,0,0,0,0,4,5,5,5
87a94650effffff,3,1,0,0,0,1,3,3,3,3
87a946512ffffff,1,1,0,0,0,1,3,3,3,3
87a946516ffffff,1,1,0,0,0,0,4,5,5,5
87a94651cffffff,5,1,0,0,0.8,0.2,4,5,5,7
87a94651dffffff,1,1,0,0,0,1,3,3,3,3
87a946520ffffff,1,1,0,0,0,1,3,3,3,3
87a946524ffffff,3,0,1,0,0.6666666666666666,0.3333333333333333,1,1,1,1
87a946526ffffff,2,1,0,0,0,0.5,4,5,5,5
87a94652affffff,1,1,0,0,0,1,3,3,3,3
87a94654dffffff,1,1,0,0,1,0,4,5,5,7
87a946550ffffff,1,1,0,0,0,1,3,3,3,3
87a946553ffffff,1,0,1,0,0,1,2,2,2,2
87a94655bffffff,4,0.5,0.5,0,0,0.75,4,5,5,5
87a946563ffffff,1,1,0,0,0,0,4,5,5,5
87a946565ffffff,1,0,1,0,0,1,2,2,2,2
87a94656bffffff,1,1,0,0,0,0,4,5,5,5
87a946573ffffff,1,1,0,0,0,1,3,3,3,3
87a946580ffffff,2,0,1,0,1,0,1,1,6,6
87a946581ffffff,4,1,0,0,1,0,4,5,5,7
87a946582ffffff,2,1,0,0,0,1,3,3,3,3
87a946583ffffff,2,1,0,0,1,0,4,5,5,7
87a946585ffffff,1,1,0,0,1,0,4,5,5,7
87a946586ffffff,2,1,0,0,1,0,4,5,5,7
87a94658affffff,1,1,0,0,0,0,4,5,5,5
87a94658bffffff,2,1,0,0,0,0.5,4,5,5,5
87a94658cffffff,2,1,0,0,1,0,4,5,5,7
87a946590ffffff,1,1,0,0,1,0,4,5,5,7
87a946591ffffff,1,1,0,0,0,1,3,3,3,3
87a946594ffffff,1,0,1,0,0,1,2,2,2,2
87a946595ffffff,2,1,0,0,1,0,4,5,5,7
87a946596ffffff,1,1,0,0,1,0,4,5,5,7
87a946598ffffff,2,1,0,0,0,0.5,4,5,5,5
87a946599ffffff,2,1,0,0,0,1,3,3,3,3
87a94659bffffff,1,1,0,0,1,0,4,5,5,7
87a94659effffff,2,1,0,0,0.5,0,4,5,5,7
87a9465a1ffffff,3,1,0,0,1,0,4,5,5,7
87a9465a3ffffff,1,1,0,0,0,1,3,3,3,3
87a9465a6ffffff,11,0.09090909090909093,0.7272727272727273,0.18181818181818185,0.3636363636363637,0.18181818181818185,1,1,1,1
87a9465a9ffffff,1,1,0,0,0,1,3,3,3,3
87a9465abffffff,2,1,0,0,0.5,0.5,4,5,5,5
87a9465acffffff,1,1,0,0,0,1,3,3,3,3
87a9465adffffff,1,1,0,0,0,1,3,3,3,3
87a9465aeffffff,3,1,0,0,1,0,4,5,5,7
87a9465b3ffffff,3,1,0,0,0.6666666666666666,0,4,5,5,7
87a9465b6ffffff,2,0.5,0,0.5,0.5,0.5,1,1,1,1
87a946806ffffff,1,1,0,0,0,1,3,3,3,3
87a946815ffffff,2,0,1,0,0,1,2,2,2,2
87a94691cffffff,1,1,0,0,1,0,4,5,5,7
