h3,tipo,agricultura_med_grandes_patrones,ganaderia_med_grandes_patrones,ganaderia_peq_patrones,ganaderia_sin_asal,agricultura_peq_patrones,agricultura_sin_asal,forestal_peq_patrones,mixta_sin_asal,mixta_med_grandes_patrones,mixta_peq_patrones,forestal_med_grandes_patrones,total,n_sin_asal,n_peq_patr,n_myg_patr,n_agric,n_ganaderia,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia
87a944a58ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a944a59ffffff,NAF,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944a5affffff,NAF,0,0,0,1,0,2,0,0,0,0,0,3,3,0,0,2,1,1,0,0,0.6666666666666666,0.3333333333333333
87a944a5bffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944a5cffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a944a5dffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944a5dffffff,NAF,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0
87a944a5effffff,Estab. OEDE,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0.5
87a944a5effffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
87a944a62ffffff,NAF,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944a6affffff,NAF,0,0,0,2,0,0,0,1,0,0,0,3,3,0,0,0,2,1,0,0,0,0.6666666666666666
87a944a6bffffff,NAF,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
87a944a6dffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944a71ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944a75ffffff,NAF,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1
87a944a84ffffff,NAF,0,0,0,4,0,9,0,2,0,0,0,15,15,0,0,9,4,1,0,0,0.6,0.26666666666666666
87a944a85ffffff,NAF,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
87a944a86ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944a93ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944a9affffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944a9effffff,NAF,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,1,1,1,0,0,0.5,0.5
87a944aa0ffffff,NAF,0,0,0,1,0,6,0,0,0,0,0,7,7,0,0,6,1,1,0,0,0.8571428571428571,0.14285714285714285
87a944aa1ffffff,NAF,0,0,0,1,0,1,0,2,0,0,0,4,4,0,0,1,1,1,0,0,0.25,0.25
87a944aa2ffffff,NAF,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,1,0,0,1,0
87a944aa3ffffff,NAF,0,0,0,1,0,10,0,1,0,0,0,12,12,0,0,10,1,1,0,0,0.8333333333333334,0.08333333333333333
87a944aa5ffffff,NAF,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,0,1,0,0,1,0
87a944aaeffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944ac8ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944acbffffff,NAF,0,1,0,2,0,2,0,1,0,0,0,6,5,0,1,2,3,0.8333333333333334,0,0.16666666666666666,0.3333333333333333,0.5
87a944ad1ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a944adeffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944ae9ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944aebffffff,NAF,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,1,0,0,0,0
87a944b01ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944b05ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944b08ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a944b0cffffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
87a944b0dffffff,NAF,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0.5
87a944b0effffff,NAF,0,0,0,4,0,1,0,0,0,0,0,5,5,0,0,1,4,1,0,0,0.2,0.8
87a944b21ffffff,NAF,0,0,0,5,0,11,0,5,0,0,0,21,21,0,0,11,5,1,0,0,0.5238095238095238,0.23809523809523808
87a944b23ffffff,NAF,0,0,0,1,0,0,0,2,0,0,0,3,3,0,0,0,1,1,0,0,0,0.3333333333333333
87a944b25ffffff,NAF,0,0,0,5,0,2,0,1,0,0,0,8,8,0,0,2,5,1,0,0,0.25,0.625
87a944b29ffffff,Estab. OEDE,1,0,1,0,1,0,0,0,0,0,1,4,0,2,2,2,1,0,0.5,0.5,0.5,0.25
87a944b29ffffff,NAF,0,0,0,2,0,1,0,1,0,0,0,4,4,0,0,1,2,1,0,0,0.25,0.5
87a944b2bffffff,Estab. OEDE,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
87a944b2bffffff,NAF,0,0,0,2,0,2,0,0,0,0,0,4,4,0,0,2,2,1,0,0,0.5,0.5
87a944b2cffffff,NAF,0,0,0,0,0,2,0,2,0,0,0,4,4,0,0,2,0,1,0,0,0.5,0
87a944b2dffffff,Estab. OEDE,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
87a944b2dffffff,NAF,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
87a944b2effffff,NAF,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
87a944b75ffffff,NAF,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,2,0.5,0.5,0,0,1
87a944b76ffffff,Estab. OEDE,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,1,0,0,1
87a944b76ffffff,NAF,0,0,0,1,0,18,0,0,0,0,0,19,19,0,0,18,1,1,0,0,0.9473684210526315,0.05263157894736842
87a944b89ffffff,NAF,0,0,0,12,0,10,0,2,0,0,0,24,24,0,0,10,12,1,0,0,0.4166666666666667,0.5
87a944b8bffffff,NAF,0,0,0,0,0,1,0,2,0,0,0,3,3,0,0,1,0,1,0,0,0.3333333333333333,0
87a944d04ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944d11ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a945024ffffff,NAF,0,0,4,1,0,0,0,0,0,0,0,5,1,4,0,0,5,0.2,0.8,0,0,1
87a945026ffffff,NAF,0,0,0,6,0,0,0,0,0,0,0,6,6,0,0,0,6,1,0,0,0,1
87a945109ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a94510bffffff,NAF,0,0,2,1,0,0,0,0,0,0,0,3,1,2,0,0,3,0.3333333333333333,0.6666666666666666,0,0,1
87a945119ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a94511bffffff,NAF,0,0,0,2,0,0,0,1,0,0,0,3,3,0,0,0,2,1,0,0,0,0.6666666666666666
87a945120ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945122ffffff,NAF,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1
87a945125ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a945131ffffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
87a945140ffffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
